species,type,english_name
Caprimulgus europaeus,Bird,Nightjar
Nineta flava,Fly,Nineta flava
Lapsana communis,Angiosperm,Nipplewort
Nitophyllum punctatum,Alga (marine),Nitophyllum punctatum
Mycena leptocephala,Fungus,Nitrous Bonnet
Nyctalus noctula,Mammal,Noctule
Bidens cernua,Angiosperm,Nodding Bur-marigold
Utricularia stygia,Angiosperm,Nordic Bladderwort
Norellisoma spinimanum,Beetle,Norellisoma spinimanum
Galium boreale,Angiosperm,Northern Bedstraw
Hyperoodon ampullatus,Mammal,Northern Bottlenose whale
Plebeius artaxerxes,Butterfly,Northern Brown Argus
Dryopteris expansa,Fern,Northern Buckler-fern
Coenagrion hastulatum,Dragonfly,Northern Damselfly
Lamium confertum,Angiosperm,Northern Dead-nettle
Aporophyla lueneburgensis,Moth,Northern Deep-brown Dart
Rumex longifolius,Angiosperm,Northern Dock
Somatochlora arctica,Dragonfly,Northern Emerald
Circus hudsonius,Bird,Northern Harrier
Crepis mollis,Angiosperm,Northern Hawks-beard
Polygonum boreale,Angiosperm,Northern Knotgrass
Dactylorhiza purpurella,Angiosperm,Northern Marsh-orchid
Setophaga americana,Bird,Northern Parula
Quercus rubra,Tree,Northern Red Oak
Eubalaena glacialis,Mammal,Northern Right whale
Arabis petraea,Angiosperm,Northern Rock-cress
Puccinellia distans subsp. borealis,Tree,Northern Saltmarsh-grass
Eleocharis austriaca,Angiosperm,Northern Spike-rush
Eulithis populata,Moth,Northern Spinach
Bombus magnus,Bumblebee,Northern White-tailed Bumblebee
Rorippa islandica,Angiosperm,Northern Yellow-cress
Acer platanoides,Tree,Norway Maple
Picea abies,Tree,Norway Spruce
Artemisia norvegica,Angiosperm,Norwegian Mugwort
Calypogeia arguta,Liverwort,Notched Pouchwort
Nothopanus porrigens,Fungus,Nothopanus porrigens
Notiophilus biguttatus,Beetle,Notiophilus biguttatus
Notomastus latericeus,Worm,Notomastus latericeus
Nototropis falcatus,Fish,Nototropis falcatus
Silene nutans,Angiosperm,Nottingham Catchfly
Epirrita dilutata,Moth,November Moth
Nucula nitidosa,Clam,Nucula nitidosa
Nucifraga caryocatactes,Bird,Nutcracker
Sitta europaea,Bird,Nuthatch
Anarta trifolii,Moth,Nutmeg
Colocasia coryli,Moth,Nut-tree Tussock
Quercus,Angiosperm,Oak
Biston strataria,Moth,Oak Beauty
Gymnocarpium dryopteris,Fern,Oak Fern
Corythucha arcuata ,Angiosperm,Oak lace bug
Thaumetopoea processionea ,Mammal,Oak processionary
Obama nungara ,Crab,Obama Worm 
Obelia geniculata,Alga (marine),Obelia geniculata
Woodsia ilvensis,Fern,Oblong Woodsia
Drosera intermedia,Angiosperm,Oblong-leaved Sundew
Eupithecia indigata,Moth,Ochreous Pug
Ochrolechia parella,Lichen,Ochrolechia parella
Ochthebius bicolon,Beetle,Ochthebius bicolon
Ochthebius dilatatus,Beetle,Ochthebius dilatatus
Ochthebius lejolisii,Beetle,Ochthebius lejolisii
Ochthebius marinus,Beetle,Ochthebius marinus
Ochthebius minimus,Beetle,Ochthebius minimus
Odontocerum albicorne,Moth,Odontocerum albicorne
Odostomia unidentata,Sea snail,Odostomia unidentata
Oedothorax retusus,Beetle,Oedothorax retusus
Oikopleura (Coecaria) fusiformis,Tunicate,Oikopleura (Coecaria) fusiformis
Oikopleura (Vexillaria) dioica,,Oikopleura (Vexillaria) dioica
Brassica napus subsp. oleifera,Angiosperm,Oil-seed Rape
Oithona nana,Copepod,Oithona nana
Oithona similis,Copepod,Oithona similis
Mormo maura,Moth,Old Lady
Elaeagnus angustifolia,Angiosperm,Oleaster
Ipimorpha subtusa,Moth,Olive
Didymodon tophaceus,Moss,Olive Beard-moss
Anthus hodgsoni,Bird,Olive-backed Pipit
Hippolais olivetorum,Bird,Olive-tree Warbler
Omalium laeviusculum,Beetle,Omalium laeviusculum
Omiamima mollina,Fly,Omiamima mollina
Onchidoris bilamellata,Sea slug,Onchidoris bilamellata
Onchidoris muricata,Sea slug,Onchidoris muricata
Moneses uniflora,Angiosperm,One-flowered Wintergreen
Onoba aculeus,Sea snail,Onoba aculeus
Onoba semicostata,Sea snail,Onoba semicostata
Ophioparma ventosa,Lichen,Ophioparma ventosa
Ophyiulus pilosus,Millipede,Ophyiulus pilosus
Papaver somniferum,Angiosperm,Opium Poppy
Chrysosplenium oppositifolium,Angiosperm,Opposite-leaved Golden-saxifrage
Groenlandia densa,Angiosperm,Opposite-leaved Pondweed
Atriplex,Angiosperm,Oraches
Impatiens capensis,Angiosperm,Orange balsam
Krombholziella versipellis,Fungus,Orange birch bolete
Halyzia 16-guttata,Ladybird,Orange ladybird
Halyzia sedecimguttata,Ladybird,Orange Ladybird
Aleuria aurantia,Fungus,Orange peel fungus
Tiliacea citrago,Moth,Orange Sallow
Caloplaca marina,Lichen,Orange Sea Lichen
Caloplaca verruculifera,Lichen,Orange Sea Star
Triodia sylvina,Moth,Orange Swift
Limacia clavigera,Sea slug,Orange-Clubbed Sea Slug
Andrena haemorrhoa,Solitary bee,Orange-tailed Mining Bee
Anthocharis cardamines,Butterfly,Orange-tip
Orchestia gammarellus,Amphipod,Orchestia gammarellus
Mahonia aquifolium,Angiosperm,Oregon-grape
Oreodytes davisii,Beetle,Oreodytes davisii
Oreodytes sanmarkii,Beetle,Oreodytes sanmarkii
Streptopelia orientalis,Bird,Oriental Turtle Dove
Microtus arvalis,Mammal,Orkney Vole
Sedum telephium,Angiosperm,Orpine
Emberiza hortulana,Bird,Ortolan Bunting
Orygma luctuosum,Moth,Orygma luctuosum
Salix viminalis,Angiosperm,Osier
Osmundea hybrida,Alga (marine),Osmundea hybrida
Osmundea oederi,Alga (marine),Osmundea oederi
Osmundea osmunda,Alga (marine),Osmundea osmunda
Pandion haliaetus,Bird,Osprey
Otiorhynchus porcatus,Beetle,Otiorhynchus porcatus
Lutra lutra,Mammal,Otter
Carex leporina,Angiosperm,Oval Angiosperm
Zirfaea crispata,Clam,Oval piddock
Carex ovalis,Angiosperm,Oval Sedge
Pterygoneurum ovatum,Moss,Oval-leaved Pottia
Seiurus aurocapilla,Bird,Ovenbird
Owenia fusiformis,Worm,Owenia fusiformis
Leucanthemum vulgare,Angiosperm,Oxeye Daisy
Senecio squalidus,Angiosperm,Oxford Ragwort
Oxystegus tenuirostris,Moss,Oxystegus tenuirostris
Pleurotus ostreatus,Fungus,Oyster mushroom
Haematopus ostralegus,Bird,Oystercatcher
Mertensia maritima,Angiosperm,Oysterplant
Colpomenia peregrina,Alga (marine),OysterThief
Ozyptila trux,Spider,Ozyptila trux
Pachygnatha degeeri,Spider,Pachygnatha degeeri
Pachyrhinus lethierryi,Beetle,Pachyrhinus lethierryi
Gavia pacifica,Bird,Pacific Diver
Pluvialis fulva,Bird,Pacific Golden Plover
Apus pacificus,Bird,Pacific Swift
Acrocephalus agricola,Bird,Paddyfield Warbler
Vanessa cardui,Butterfly,Painted Lady
Palaemon elegans,Shrimp,Palaemon elegans
Utricularia ochroleuca,Angiosperm,Pale Bladderwort
Phigalia pilosaria,Moth,Pale Brindled Beauty
Pinguicula lusitanica,Angiosperm,Pale Butterwort
Drosnthemum floribundum,Angiosperm,Pale dewplant
Myosotis stolonifera,Angiosperm,Pale Forget-me-not
Cyperus eragostis,Angiosperm,Pale galingale
Pohlia wahlenbergii,Moss,Pale Glaucous Thread-moss
Caradrina clavipalpis,Moth,Pale Mottled Willow
Epirrita christyi,Moth,Pale November Moth
Persicaria lapathifolia,Angiosperm,Pale Persicaria
Lithophane socia,Moth,Pale Pinion
Pterostoma palpina,Moth,Pale Prominent
Carex pallescens,Angiosperm,Pale Sedge
Linaria repens,Angiosperm,Pale Toadflax
Epilobium roseum,Angiosperm,Pale Willowherb
Lacanobia thalassina,Moth,Pale-shouldered Brocade
Bellardia vulgaris,Fly,Pale-veined Emerald-bottle
Palio dubia,Sea slug,Palio dubia
Helopsaltes certhiola,Bird,Pallass Grasshopper Warbler
Emberiza pallasi,Bird,Pallass Reed Bunting
Syrrhaptes paradoxus,Bird,Pallass Sandgrouse
Phylloscopus proregulus,Bird,Pallass Warbler
Lacuna pallidula,Sea snail,Pallid Chink Shell
Circus macrourus,Bird,Pallid Harrier
Apus pallidus,Bird,Pallid Swift
Palliduphantes ericaeus,Spider,Palliduphantes ericaeus
Palloptera saltuum,Fly,Palloptera saltuum
Lissotriton helveticus,Amphibian,Palmate Newt
Panorpa germanica,Scorpion fly,Panorpa germanica
Paracalanus parvus,Copepod,Paracalanus parvus
Paracorixa concinna,True bug,Paracorixa concinna
Paradiacheopsis fimbriata,Slime mould,Paradiacheopsis fimbriata
Paradromius linearis,Beetle,Paradromius linearis
Paralia sulcata,Alga (marine),Paralia sulcata
Paranchus albipes,Beetle,Paranchus albipes
Macrolepiota procera,Fungus,Parasol mushroom
Pardosa amentata,Spider,Pardosa amentata
Pardosa nigriceps,Spider,Pardosa nigriceps
Pardosa palustris,Spider,Pardosa palustris
Pardosa prativaga,Spider,Pardosa prativaga
Pardosa pullata,Spider,Pardosa pullata
Elasmucha grisea,True bug,Parent Bug
Parmelia caperata,Lichen,Parmelia caperata
Parmelia conspersa,Lichen,Parmelia conspersa
Parmelia omphalodes,Lichen,Parmelia omphalodes
Parmelia saxatilis,Lichen,Parmelia saxatilis
Parmelia saxatilis s. lat.,Lichen,Parmelia saxatilis s. lat.
Loxia pytyopsittacus,Bird,Parrot Crossbill
Gliophorus psittacinus,Fungus,Parrot Waxcap
Myriophyllum aquaticum ,Angiosperm,Parrots feather 
Cryptogramma crispa,Fern,Parsley Fern
Oenanthe lachenalii,Angiosperm,Parsley Water-dropwort
Rubus laciniatus,Angiosperm,Parsley-leaved Bramble
Aphanes arvensis,Angiosperm,Parsley-piert
Paxillus atrotomentosus,Fungus,Paxillus atroromentosus
Paxillus involutus,Fungus,Paxillus involutus
Bryum ruderale,Moss,Pea Bryum
Thyatira batis,Moth,Peach Blossom
Campanula persicifolia,Angiosperm,Peach-leaved Bellflower
Aglais io,Butterfly,Peacock
Sabella pavonina,Worm,Peacock Worm
Sitona lineatus,Weevil,Pea-leaf Weevil
Boloria euphrosyne,Butterfly,Pearl-bordered Fritillary
Peridroma saucia,Moth,Pearly Underwing
Drepana falcataria,Moth,Pebble Hook-tip
Notodonta ziczac,Moth,Pebble Prominent
Anthus gustavi,Bird,Pechora Pipit
Calidris melanotos,Bird,Pectoral Sandpiper
Quercus robur,Tree,Pedunculate Oak
Callitriche brutia,Angiosperm,Pedunculate Water-starwort
Pegomya bicolor,Fly,Pegomya bicolor
Pegomya haemorrhoum,Fly,Pegomya haemorrhoum
Pegomya hyoscyami,Fly,Pegomya hyoscyami
Pegomya rubivora,Fly,Pegomya rubivora
Pegoplata aestiva,Beetle,Pegoplata aestiva
Parietaria judaica,Angiosperm,Pellitory-of-the-wall
Peltogaster paguri,Barnacle,Peltogaster paguri
Carex pendula,Angiosperm,Pendulous Sedge
Zanardinia typus,Alga (marine),Penny weed
Peponocranium ludicrum,Fly,Peponocranium ludicrum
Laurencia obtusa,Alga (marine),Pepper Dulse
Osmundea pinnatifida,Alga (marine),Pepper Dulse
Biston betularia,Moth,Peppered Moth
Silaum silaus,Angiosperm,Pepper-saxifrage
Chalciporus piperatus,Fungus,Peppery boletus
Scrobicularia plana,Clam,Peppery Furrow Shell
Perapion violaceum,Beetle,Perapion violaceum
Falco peregrinus,Bird,Peregrine
Centaurea montana,Angiosperm,Perennial Cornflower
Linum perenne,Angiosperm,Perennial Flax
Lolium perenne,Angiosperm,Perennial Rye-grass
Sonchus arvensis,Angiosperm,Perennial Sow-thistle
Potamogeton perfoliatus,Angiosperm,Perfoliate Pondweed
Hypericum perforatum,Angiosperm,Perforate St. Johns Wort
Perforatus perforatus,Clam,Perforatus perforatus
Perioculodes longimanus,Crab,Perioculodes longimanus
Peronospora alta,Fungus,Peronospora alta
Heracleum persicum,Angiosperm,Persian hogweed
Didymodon rigidulus,Moss,Perthshire Beard-moss
Petalonia fascia,Alga (marine),Petalonia fascia
Petalonia filiformis,Alga (marine),Petalonia filiformis
Petrobius brevistylis,Silverfish,Petrobius brevistylis
Euphorbia peplus,Angiosperm,Petty Spurge
Genista anglica,Angiosperm,Petty Whin
Phaeolus schweintzii,Fungus,Phaeolus schweintzii
Phaeophyscia orbicularis,Lichen,Phaeophyscia orbicularis
Phanacis taraxaci,Moth,Phanacis taraxaci
Phaonia angelicae,Fly,Phaonia angelicae
Phaonia palpata,Fly,Phaonia palpata
Phaonia rufiventris,Fly,Phaonia rufiventris
Phasianus colchicus,Bird,Pheasant
Tricolia pullus,Sea snail,Pheasant shell
Anemanthele lessoniana,Alga (marine),Pheasants- tail 
Narcissus poeticus,Angiosperm,Pheasants-eye Daffodil
Phialella quadrata,Jellyfish,Phialella quadrata
Philodromus aureolus,Spider,Philodromus aureolus
Philonthus decorus,Beetle,Philonthus decorus
Philonthus laminatus,Beetle,Philonthus laminatus
Eulithis prunata,Moth,Phoenix
Pholiota spp.,Fungus,Pholiota spp.
Phycodrys rubens,Alga (marine),Phycodrys rubens
Phyllobius virideaeris,Beetle,Phyllobius virideaeris
Phyllodoce lamelligera,Worm,Phyllodoce lamelligera
Phyllodoce laminosa,,Phyllodoce laminosa
Phyllodoce maculata,,Phyllodoce maculata
Phyllodoce mucosa,Worm,Phyllodoce mucosa
Phyllophora pseudoceranoides,Alga (marine),Phyllophora pseudoceranoides
Phymatolithon lenormandii,Alga (marine),Phymatolithon lenormandii
Physarum album,Slime mould,Physarum album
Physcia adscendens,Lichen,Physcia adscendens
Physcia caesia,Lichen,Physcia caesia
Physcia tenella,Lichen,Physcia tenella
Phytomyza plantaginis,Fly,Phytomyza plantaginis
Ficedula hypoleuca,Bird,Pied Flycatcher
Motacilla alba,Bird,Pied Wagtail
Motacilla alba yarrellii,Bird,Pied Wagtail
Oenanthe pleschanka,Bird,Pied Wheatear
Podilymbus podiceps,Bird,Pied-billed Grebe
Pieris napi thomsoni,Butterfly,Pieris napi thomsoni
Crassula aquatica,Angiosperm,Pigmyweed
Conopodium majus,Angiosperm,Pignut
Carex pilulifera,Angiosperm,Pill Sedge
Pilularia globulifera,Fern,Pillwort
Pilosella aurantiaca subsp. carpathicola,Angiosperm,Pilosella aurantiaca subsp. carpathicola
Panolis flammea,Moth,Pine Beauty
Boletus pinophilus,Fungus,Pine Bolete
Emberiza leucocephalos,Bird,Pine Bunting
Pennithera firmata,Moth,Pine Carpet
Pinicola enucleator,Bird,Pine Grosbeak
Exochomus 4-pustulatus,Ladybird,Pine ladybird
Exochomus quadripustulatus,Ladybird,Pine Ladybird
Martes martes,Mammal,Pine Marten
Matricaria discoidea,Angiosperm,Pineapple Mayweed
Schrankia costaestrigalis,Moth,Pinion-streaked Snout
Claytonia sibirica,Angiosperm,Pink Purslane
Pandalus montagui,Shrimp,Pink Shrimp
Veronica catenata,Angiosperm,Pink Water-Speedwell
Xanthia togata,Moth,Pink-barred Sallow
Anser brachyrhynchus,Bird,Pink-footed Goose
Persicaria capitata,Angiosperm,Pink-headed Persicaria
Anas acuta,Bird,Pintail
Eriocaulon aquaticum,Angiosperm,Pipewort
Pirata piraticus,Spider,Pirata piraticus
Pirimela denticulata,Beetle,Pirimela denticulata
Pleuronectes platessa,Fish,Plaice
Autographa jota,Moth,Plain Golden Y
Platambus maculatus,Beetle,Platambus maculatus
Platismatia glauca,Lichen,Platismatia glauca
Platydracus stercorarius,Beetle,Platydracus stercorarius
Parasola plicatilis,Fungus,Pleated Inkcap
Galanthus plicatus,Angiosperm,Pleated Snowdrop
Pleurotus cornucopiae,Fungus,Pleurotus cornucopiae
Glyceria notata,Angiosperm,Plicate Sweet-grass
Plocamium cartilagineum,Alga (marine),Plocamium cartilagineum
Plumaria plumosa,Alga (marine),Plumaria plumosa
Aythya ferina,Bird,Pochard
Pocheina rosea,Slime mould,Pocheina rosea
Ensis siliqua,Sea snail,Pod Razor Shell
Pododesmus patelliformis,Clam,Pododesmus patelliformis
Podon leuckartii,Copepod,Podon leuckartii
Calliergonella cuspidata,Moss,Pointed Spear-moss
Weissia rutilans,Moss,Pointed-leaved Stubble-moss
Hebeloma crustuliniforme,Fungus,Poisonpie
Mustela putorius,Mammal,Polecat
Pollachius pollachius,Fish,Pollack
Polydrusus impar,Beetle,Polydrusus impar
Polygonum aviculare agg.,Angiosperm,Polygonum aviculare agg.
Polyides rotunda,Alga (marine),Polyides rotunda
Polypodium vulgare,Fern,Polypody
Polysiphonia atlantica,Alga (marine),Polysiphonia atlantica
Polysiphonia elongata,Alga (marine),Polysiphonia elongata
Polysiphonia stricta,Alga (marine),Polysiphonia stricta
Stercorarius pomarinus,Bird,Pomarine Skua
Caulacanthus okamurae,Alga (marine),Pom-pom weed
Ranunculus peltatus,Angiosperm,Pond Water-crowfoot
Pontocrates altamarinus,Crab,Pontocrates altamarinus
Pontocrates arenarius,Amphipod,Pontocrates arenarius
Laothoe populi,Moth,Poplar Hawk-moth
Mucidula mucida,Fungus,Porcelain Fungus
Oudemansiella mucida,Fungus,"Porcelain fungus, Poached egg fungus"
Porcellio dilatatus,Woodlice,Porcellio dilatatus
Porcellio spinicornis,Isopod,Porcellio spinicornis
Porcellionides pruinosus,Isopod,Porcellionides pruinosus
Porphyra dioica,Alga (marine),Porphyra dioica
Porphyra linearis,Alga (marine),Porphyra linearis
Porphyra purpurea,Alga (marine),Porphyra purpurea
Porrhomma pygmaeum,Spider,Porrhomma pygmaeum
Actebia praecox,Moth,Portland Moth
Euphorbia portlandica,Angiosperm,Portland Spurge
Prunus lusitanica,Tree,Portugal Laurel
Physalia physalis,Jellyfish,Portuguese man-of-war
Portumnus latipes,Crab,Portumnus latipes
Potamocorbula amurensis,Mollusc (marine),Potamocorbula amurensis
Potamophylax cingulatus,Caddisfly,Potamophylax cingulatus
Phytophthora infestans,Fungus,Potato Blight
Potentilla erecta subsp. erecta,Angiosperm,Potentilla erecta subsp. erecta
Orthosia gracilis,Moth,Powdered Quaker
Spartina pectinata,Grass,Prairie cord-grass
Praunus neglectus,Shrimp,Praunus neglectus
Perizoma blandiata,Moth,Pretty Pinion
Acanthocardia echinata,Clam,Prickly Cockle
Papaver argemone,Angiosperm,Prickly Poppy
Carex muricata,Angiosperm,Prickly Sedge
Sonchus asper,Angiosperm,Prickly Sow-thistle
Primula vulgaris,Angiosperm,Primrose
Sagina procumbens,Angiosperm,Procumbent Pearlwort
Carassius gibelio,Fish,Prussian carp
Pseudocalanus elongatus,Copepod,Pseudocalanus elongatus
Pseudocoenosia solitaria,Fly,Pseudocoenosia solitaria
Pseudocraterellus sinuosus,Fungus,Pseudocraterellus sinuosus
Pseudocuma gilsoni,Isopod,Pseudocuma gilsoni
Pseudo-nitzschia seriata,Alga (marine),Pseudo-nitzschia seriata
Lagopus muta,Bird,Ptarmigan
Pteremis fenestralis,Moth,Pteremis fenestralis
Pterostichus diligens,Beetle,Pterostichus diligens
Pterostichus strenuus,Beetle,Pterostichus strenuus
Pterothamnion plumula,Alga (marine),Pterothamnion plumula
Lycoperdaceae,Fungus,Puffballs
Hypogymnia physodes,Lichen,Puffed Shield Lichen
Fratercula arctica,Bird,Puffin
Pulmonaria mollis,Angiosperm,Pulmonaria mollis
Corixa punctata,True bug,Punctate Corixa
Cosmorhoe ocellata,Moth,Purple Bar
Diarsia brunnea,Moth,Purple Clay
Disphyma crassifolium,Angiosperm,Purple dewplant
Salicornia ramosissima,Angiosperm,Purple Glasswort
Favonius quercus,Butterfly,Purple Hairstreak
Spatangus purpureus,Sea urchin,Purple Heart Urchin
Ardea purpurea,Bird,Purple Heron
Lythrum salicaria,Angiosperm,Purple Loosestrife
Progne subis,Bird,Purple Martin
Astragalus danicus,Angiosperm,Purple Milk-vetch
Molinia caerulea,Angiosperm,Purple Moor-grass
Cyperus rotundus,Angiosperm,Purple nutsedge
Oxytropis halleri,Angiosperm,Purple Oxytropis
Sarracenia purpurea ,Mammal,Purple pitcher plant 
Fumaria purpurea,Angiosperm,Purple Ramping-fumitory
Calidris maritima,Bird,Purple Sandpiper
Saxifraga oppositifolia,Angiosperm,Purple Saxifrage
Calamagrostis canescens,Angiosperm,Purple Small-reed
Linaria purpurea,Angiosperm,Purple Toadflax
Salix purpurea,Angiosperm,Purple Willow
Taraxacum brachyglossum,Angiosperm,Purple-bracted Dandelion
Cerura vinula,Moth,Puss Moth
Scolytus pygmaeus,Beetle,Pygmy elm bark beetle
Sorex minutus,Mammal,Pygmy Shrew
Pylaiella littoralis,Alga (marine),Pylaiella littoralis
Ajuga pyramidalis,Angiosperm,Pyramidal Bugle
Anacamptis pyramidalis,Angiosperm,Pyramidal Orchid
Cochlearia pyrenaica,Angiosperm,Pyrenean Scurvygrass
Valeriana pyrenaica,Angiosperm,Pyrenean Valerian
Pyropia leucosticta,Alga (marine),Pyropia leucosticta
Pyrrhula pyrrhula pyrrhula,Bird,Pyrrhula pyrrhula pyrrhula
Dreissena rostriformis bugensis ,Angiosperm,Quagga mussel 
Coturnix coturnix,Bird,Quail
Briza media,Angiosperm,Quaking-grass
Quedius curtipennis,Beetle,Quedius curtipennis
Aequipecten opercularis,Scallop,Queen scallop
Isoetes lacustris,Clubmoss,Quillwort
Oryctolagus cuniculus,Mammal,Rabbit
Procyon lotor,Angiosperm,Raccoon
Nyctereutes procyonoides,Mammal,Raccoon dog
Neogobius gynmotrachelus,Fish,Racer goby
Phylloscopus schwarzi,Bird,Raddes Warbler
Lychnis flos-cuculi,Angiosperm,Ragged-Robin
Silene flos-cuculi,Angiosperm,Ragged-Robin
Perinereis cultrifera,Worm,Ragworm
Oncorhynchus mykiss,Fish,Rainbow Trout
Ramaria spp.,Fungus,Ramaria spp.
Anomodon viticulosus,Moss,Rambling Tail-moss
Ramalina subfarinacea,Lichen,Ramilina subfarinacea
Allium ursinum,Angiosperm,Ramsons
Scheuchzeria palustris,Angiosperm,Rannoch-rush
Ranunculus flammula subsp. flammula,Angiosperm,Ranunculus flammula subsp. flammula
Brassica napus,Angiosperm,Rape
Rubus idaeus,Angiosperm,Raspberry
Byturus tomentosus,Beetle,Raspberry Beetle
Vulpia myuros,Angiosperm,Rats-tail Fescue
Corvus corax,Bird,Raven
Dosinia exoleta,Clam,Rayed Artemis
Mactra stultorum,Sea snail,Rayed Trough Shell
Polygonum oxyspermum,Angiosperm,Rays Knotgrass
Fomitopsis betulina,Fungus,Razor Strop Fungus
Alca torda,Bird,Razorbill
Vanessa atalanta,Butterfly,Red Admiral
Odontites vernus,Angiosperm,Red Bartsia
Bryoerythrophyllum recurvirostrum,Moss,Red Beard-moss
Silene dioica,Angiosperm,Red Campion
Cerastis rubricosa,Moth,Red Chestnut
Trifolium pratense,Angiosperm,Red Clover
Boletus chrysenteron,Fungus,Red Cracking Bolete
Ribes rubrum,Angiosperm,Red currant
Cynips divisa,Wasp,Red Currant Gall
Lamium purpureum,Angiosperm,Red Dead-nettle
Cervus elaphus,Mammal,Red deer
Festuca rubra,Angiosperm,Red Fescue
Vulpes vulpes,Mammal,Red fox
Oxybasis rubra,Angiosperm,Red Goosefoot
Lagopus lagopus,Bird,Red Grouse
Galeopsis angustifolia,Angiosperm,Red Hemp-nettle
Aesculus carnea,Tree,Red Horse-chestnut
Milvus milvus,Bird,Red Kite
Osmia bicornis,Bee,Red Mason Bee
Potamogeton alpinus,Angiosperm,Red Pondweed
Dilsea carnosa,Alga (marine),Red Rags
Agarophyton vermiculophyllum,Alga (marine),Red spaghetti weed
Sciurus vulgaris,Mammal,Red squirrel
Procambarus clarkii,Crayfish,Red swamp crayfish
Xylena vetusta,Moth,Red Sword-Grass
Centranthus ruber,Angiosperm,Red Valerian
Lanius collurio,Bird,Red-backed Shrike
Sambucus racemosa,Angiosperm,Red-berried Elder
Ficedula parva,Bird,Red-breasted Flycatcher
Branta ruficollis,Bird,Red-breasted Goose
Mergus serrator,Bird,Red-breasted Merganser
Xerocomus chrysenteron,Fungus,Red-cracked boletus
Netta rufina,Bird,Red-crested Pochard
Trachemys scripta,Reptile,Red-eared Terrapin
Vireo olivaceus,Bird,Red-eyed Vireo
Tarsiger cyanurus,Bird,Red-flanked Bluetail
Falco vespertinus,Bird,Red-footed Falcon
Chloroclysta siterata,Moth,Red-green Carpet
Alectoris rufa,Bird,Red-legged Partridge
Pentatoma rufipes,True bug,Red-legged Shieldbug
Leptologia lota,Moth,Red-line Quaker
Atolmis rubricollis,Moth,Red-necked Footman
Podiceps grisegena,Bird,Red-necked Grebe
Phalaropus lobatus,Bird,Red-necked Phalarope
Calidris ruficollis,Bird,Red-necked Stint
Cornus sericea,Angiosperm,Red-osier Dogwood
Cecropis daurica,Bird,Red-rumped Swallow
Ceratodon purpureus,Moss,Redshank
Persicaria maculosa,Angiosperm,Redshank
Tringa totanus,Bird,Redshank
Bombus ruderarius,Bumblebee,Red-shanked Carder Bee
Phoenicurus phoenicurus,Bird,Redstart
Pleurozium schreberi,Moss,Red-stemmed Feather-moss
Bombus lapidarius,Bumblebee,Red-tailed Bumblebee
Bombus rupestris,Bumblebee,Red-tailed Cuckoo-bee
Gavia stellata,Bird,Red-throated Diver
Anthus cervinus,Bird,Red-throated Pipit
Sympetrum fonscolombii,Dragonfly,Red-veined Darter
Turdus iliacus,Bird,Redwing
Agelaius phoeniceus,Bird,Red-winged Blackbird
Emberiza schoeniclus,Bird,Reed Bunting
Phalaris arundinacea,Angiosperm,Reed Canary-grass
Glyceria maxima,Angiosperm,Reed Sweet-grass
Acrocephalus scirpaceus,Bird,Reed Warbler
Muntiacus reevesi ,Angiosperm,Reeves muntjac
Syrmaticus reevesii,Bird,Reevess Pheasant
Puccinellia distans,Angiosperm,Reflexed Saltmarsh-grass
Sedum rupestre,Angiosperm,Reflexed Stonecrop
Rangifer tarandus,Mammal,Reindeer
Carex remota,Angiosperm,Remote Sedge
Boletus reticulatus,Fungus,Reticulated Bolete
Pseudocrossidium revolutum,Moss,Revolute Beard-moss
Rhamphomyia pilifer,Fly,Rhamphomyia pilifer
Rhantus exsoletus,Beetle,Rhantus exsoletus
Rhantus suturalis,Beetle,Rhantus suturalis
Rhantus suturellus,Beetle,Rhantus suturellus
Rhizosolenia styliformis,Alga (marine),Rhizosolenia styliformis
Rhododendron ponticum,Angiosperm,Rhododendron
Rhodomela confervoides,Alga (marine),Rhodomela confervoides
Rhodothamniella floridula,Alga (marine),Rhodothamniella floridula
Rheum palmatum x rhaponticum = R. x hybridum,Angiosperm,Rhubarb
Rhyacophila dorsalis,Jellyfish,Rhyacophila dorsalis
Idaea aversata,Moth,Riband Wave
Melilotus officinalis,Angiosperm,Ribbed Melilot
Plantago lanceolata,Angiosperm,Ribwort Plantain
Anthus richardi,Bird,Richards Pipit
Dryopteris submontana,Fern,Rigid Buckler-fern
Ceratophyllum demersum,Angiosperm,Rigid Hornwort
Turdus torquatus,Bird,Ring Ouzel
Larus delawarensis,Bird,Ring-billed Gull
Charadrius hiaticula,Bird,Ringed Plover
Aphantopus hyperantus,Butterfly,Ringlet
Aythya collaris,Bird,Ring-necked Duck
Psittacula krameri,Bird,Ring-necked Parakeet
Rinodina oleae,Lichen,Rinodina oleae
Rissoa parva,Snail,Rissoa parva
Grampus griseus,Mammal,Rissos dolphin
Orthotrichum rivulare,Moss,River Bristle-moss
Brachythecium rivulare,Moss,River Feather-moss
Schistidium rivulare,Moss,River Grimmia
Ancylus fluviatilis,Snail,River limpets
Locustella fluviatilis,Bird,River Warbler
Ranunculus fluitans,Angiosperm,River Water-crowfoot
Perizoma affinitata,Moth,Rivulet
Robertus lividus,Beetle,Robertus lividus
Erithacus rubecula,Bird,Robin
Potentilla rupestris,Angiosperm,Rock Cinquefoil
Columba livia,Bird,Rock Dove
Anthus petrosus,Bird,Rock Pipit
